pred_mrl,true_mrl,id
0.05144889495718655,6.6345997,9082
0.05423963670240303,5.624335,2894
0.05466522548818073,3.3686013,87706
0.05470648823249585,3.963838,34943
0.05476937619770564,5.3646035,18807
0.05492015950362657,6.6683855,958
0.054813913678131564,4.9195704,85076
0.054892876931368316,1.9478954,42180
0.05418513985404941,3.692875,59936
0.05468891200526767,6.243589,98813
0.05446349111309727,4.2768927,61470
0.05368833560154334,5.4482307,99514
0.05419255433982171,7.347441,8092
0.054338095845473104,2.767585,33615
0.05495614408045128,3.100725,33215
0.05441194536615017,7.317215,57067
0.054478440479916214,4.7466836,32562
0.05371321927450925,5.3855276,83650
0.05466425896701978,6.8264165,97645
0.05476259207715862,4.522075,91163
0.05489992335242129,7.331173,86519
0.0542634816790034,3.6633751,11014
0.05415248298687542,6.9422693,49504
0.05451718149734669,6.724994,91623
0.05375957890903013,6.9832597,52079
0.05406618944344,7.3831024,43560
0.05464454679906852,7.581008,37361
0.05448125125593183,7.4322934,81226
0.054382913534886744,7.230186,65666
0.05469314535300119,5.654612,35458
0.054827095618202044,5.9855647,87589
0.054727607754252804,6.2268443,27654
0.051800272403229576,6.4721794,18259
0.054447152024637624,6.4080667,10519
0.054824359462552354,4.1022387,49654
0.05469028387793678,7.719718,29892
0.05440278084209479,6.1412544,87071
0.05413499831754401,6.85055,16228
0.05420270522950541,5.993604,14929
0.05468292077731631,6.4489827,33157
0.05468545388108904,7.232303,97747
0.05483228218625899,6.095427,2412
0.054807100827109254,3.9731576,60281
0.05432784945379953,6.3103547,11769
0.054926841838980694,2.9423072,93086
0.05420625163718766,8.006188,69692
0.05382014270358133,7.8488064,45801
0.05410938683009956,6.868535,18020
0.05444999106263028,5.058761,32036
0.05466054359213185,7.3137274,7158
0.05403518955719939,6.6274257,3141
0.05472104216892473,1.5231668,33063
0.05389662623116905,7.156427,61457
0.05472049203085856,1.8092557,37605
0.05463188862882783,7.0515075,53742
0.05469133129477897,7.0567174,93265
0.054817720598913745,3.0494587,29561
0.054904919184050355,1.3379899,21801
0.055016796872981374,5.5285506,71067
0.054802084766878666,4.173618,24988
0.05430154889436766,4.972007,3511
0.054733561617823945,6.4280376,92120
0.05467281172157545,4.0746126,11360
0.05477872553449632,4.7851186,5078
0.05140098986181615,6.6725683,176
0.05445508009048369,6.7113075,72249
0.05485812939095627,4.2817073,742
0.053832895561126116,5.409505,34803
0.05446881605116467,5.457334,41378
0.05484602888405022,5.7228713,19930
0.054304812043991825,5.562071,66754
0.05496984558186701,4.2517424,74231
0.0541173718773402,7.702326,46661
0.05486607535748165,7.4354625,42053
0.053916147876990526,7.2054563,62917
0.054828076151308636,6.2505884,65414
0.054585515341945376,6.180026,91768
0.054598879110008235,7.332264,8263
0.05473981216226528,7.3176455,70680
0.054648596656334154,3.1225827,5692
0.054054410825996026,6.072737,91886
0.05474953768153396,4.44042,81267
0.054657404422376175,6.1181383,26306
0.054153744744795416,5.4469905,72311
0.05455704434925443,6.7486815,98426
0.05396833667850802,5.8297653,51438
0.054788493938842484,6.5838556,53897
0.05453054264621024,6.317761,76556
0.054460805186137023,4.997296,9884
0.054473206049835715,6.8776383,37047
0.054280083780217064,6.9432206,56729
0.05466378817408203,1.8554006,71288
0.05472338785766276,7.597236,41372
0.05479838682939814,6.4534416,54172
0.054437162269028345,7.212976,73900
0.05432478753358945,6.1930404,1349
0.05167748482641051,4.0413632,13813
0.054966387630675656,2.199238,30932
0.054823731864540266,7.693596,5832
0.054341509134333464,4.954785,39158
0.05405872441202782,4.7144523,32799
0.05440157503897941,6.4158354,94944
0.05435594056913804,6.2061677,23563
0.05425529057894035,6.092459,86434
0.053692867467648425,6.4914403,29745
0.054108813459678454,4.716033,21887
0.05460437579564339,7.4565187,2845
0.05431298222987293,7.477227,58891
0.05444106875731613,6.8459177,71714
0.05500190793073159,5.0493255,19
0.054544345846705325,6.19792,76946
0.05467381036056012,5.687209,12488
0.05468309730898218,6.5854006,91356
0.053791760901154506,7.385399,12605
0.054284111849749725,6.7889194,4790
0.05403759995379745,6.096582,22373
0.0544585427773618,6.740297,55847
0.05462487867061269,4.7213135,8409
0.05482080116477962,1.3767898,37792
0.05483155378998481,6.428136,22159
0.05452432659637287,5.3185143,67363
0.05475066591110994,6.7178106,86847
0.0546164941920993,7.3645353,5885
0.05449808569432127,5.870034,8330
0.0546654038324948,1.7301911,11172
0.05487815710967788,4.587184,20829
0.05420983602722147,5.8128977,4053
0.054490754307154825,2.020378,84414
0.051096175185325006,2.4948351,7611
0.05422294926764181,3.256046,95577
0.05490247706970396,6.521561,16889
0.054870161791214365,6.20379,4487
0.05428421037960841,6.392242,56052
0.0537978492670208,5.516459,79421
0.05460917967380374,7.237841,52994
0.05493560200714644,7.627991,73124
0.05470179219515712,5.26435,70401
0.054806754258355767,8.097308,80668
0.05488548424669656,7.368629,20760
0.05445974657857135,7.021228,17000
0.05474543682970128,6.2672544,95272
0.054164530012518315,7.889241,81625
0.05464134414427537,7.3843203,73645
0.05504160478954283,4.0218687,66318
0.05412950732739433,7.3346786,32885
0.054571662062941145,7.1286,14547
0.0546856600997999,7.3410115,36385
0.05471616170240903,1.6824015,39695
0.05408953075268737,7.277527,29117
0.0542923796105981,7.1272817,76577
0.05473128242850469,6.170209,20505
0.05483216019037486,4.1032004,56655
0.05480722790525901,4.9839935,45209
0.05374933759968575,6.4762945,26167
0.05488443263079086,2.854314,13765
0.054589544006159424,6.77464,27926
0.05473558531200319,3.5079532,62210
0.054114865424780625,7.6595826,70748
0.054822319077006236,6.034615,65204
0.054073949180813256,4.952082,73719
